epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,118183,0.75197,0.43726,0.97075,0.89208,0.89455,0.94204,0.7101,0.87443,0.44402,0.95197,0.0004358,0.0004358,0.0004358
81,119649,0.75174,0.43837,0.96379,0.8936,0.89155,0.94163,0.70542,0.89011,0.46459,0.97152,0.000416,0.000416,0.000416
82,121094,0.73986,0.43157,0.95971,0.88987,0.88956,0.94302,0.71333,0.86214,0.44962,0.95198,0.0003962,0.0003962,0.0003962
83,122568,0.74608,0.43239,0.96297,0.89693,0.89055,0.94555,0.70949,0.88076,0.4681,0.9612,0.0003764,0.0003764,0.0003764
84,124055,0.72993,0.42149,0.95648,0.89983,0.88886,0.94556,0.71125,0.86142,0.49721,0.95045,0.0003566,0.0003566,0.0003566
85,125541,0.72828,0.42385,0.95226,0.89252,0.89955,0.94468,0.70854,0.88561,0.46995,0.96289,0.0003368,0.0003368,0.0003368
86,127028,0.72703,0.41839,0.95321,0.90347,0.88806,0.94678,0.71433,0.87623,0.45369,0.96152,0.000317,0.000317,0.000317
87,128521,0.71208,0.41296,0.94955,0.87683,0.91074,0.9439,0.71099,0.87925,0.47006,0.96584,0.0002972,0.0002972,0.0002972
88,130015,0.71651,0.40803,0.95264,0.90449,0.89055,0.94285,0.71217,0.87526,0.45956,0.96238,0.0002774,0.0002774,0.0002774
89,131500,0.70885,0.40979,0.94505,0.90038,0.89305,0.94366,0.71543,0.87376,0.45748,0.96087,0.0002576,0.0002576,0.0002576
90,132983,0.70337,0.40652,0.94656,0.89777,0.89055,0.94141,0.71075,0.8695,0.43702,0.9611,0.0002378,0.0002378,0.0002378
91,134465,0.67841,0.36435,0.92888,0.88832,0.89555,0.94174,0.71313,0.85537,0.46829,0.95819,0.000218,0.000218,0.000218
92,135948,0.66086,0.35979,0.93206,0.89569,0.89688,0.94547,0.71402,0.86676,0.4542,0.95907,0.0001982,0.0001982,0.0001982
93,137433,0.64973,0.35023,0.92988,0.90249,0.88343,0.94342,0.71309,0.86973,0.46939,0.95964,0.0001784,0.0001784,0.0001784
94,138923,0.63902,0.34086,0.91956,0.89169,0.89283,0.9413,0.71296,0.85958,0.46342,0.95543,0.0001586,0.0001586,0.0001586
95,140412,0.63692,0.3375,0.91956,0.89751,0.88397,0.94127,0.71532,0.85497,0.45912,0.95208,0.0001388,0.0001388,0.0001388
96,141900,0.6258,0.33682,0.91116,0.88014,0.90275,0.93907,0.71218,0.86039,0.45773,0.96275,0.000119,0.000119,0.000119
97,143389,0.62547,0.33649,0.91131,0.90235,0.88661,0.94298,0.71495,0.86093,0.44679,0.95966,9.92e-05,9.92e-05,9.92e-05
98,144873,0.61331,0.33392,0.90702,0.89501,0.89755,0.94354,0.71553,0.86186,0.44538,0.95721,7.94e-05,7.94e-05,7.94e-05
99,146360,0.60362,0.32533,0.90877,0.89875,0.88706,0.94079,0.71469,0.85984,0.45071,0.9549,5.96e-05,5.96e-05,5.96e-05
100,147847,0.60698,0.32403,0.90674,0.90149,0.88606,0.94196,0.71476,0.85703,0.44366,0.95299,3.98e-05,3.98e-05,3.98e-05
